z,H(z),sigHrdpl,H(z)2,sigHrdw9
0.24,82.37,3.94,79.69,4.28
0.3,78.83,6.58,76.26,6.63
0.31,78.39,5.46,75.83,5.6
0.35,88.1,9.45,85.23,9.37
0.36,80.16,4.37,77.54,4.63
0.38,81.74,3.4,79.08,3.81
0.43,89.36,4.89,86.44,5.18
0.44,85.48,8.59,82.69,8.55
0.51,90.67,3.66,87.71,4.13
0.52,94.61,4.2,91.52,4.63
0.56,93.59,3.96,90.54,4.42
0.57,96.59,8.76,93.44,8.78
0.59,98.75,4.66,95.53,5.07
0.6,90.96,7.04,87.99,7.14
0.61,97.59,3.97,94.41,4.47
0.64,99.09,4.53,95.86,4.97
0.73,100.69,8.03,97.4,8.12
2.33,223.99,11.12,216.69,11.97
2.34,222.105,10.38,214.85,11.31
2.36,226.24,11.18,218.86,12.05
